case_id,propulsion_case,changed_parameter,changed_value,raw_all_segment_min_thrust_margin_N,approach_only_corrected_margin_N,corrected_all_segment_min_thrust_margin_N,raw_low_thrust_margin,approach_only_corrected_low_thrust_margin,corrected_all_segment_low_thrust_margin,approach_only_model_sensitive,sizing_or_schedule_low_thrust,unmet_electric_load_Wh,conclusion_status_approach_corrected,conclusion_status_all_segment_corrected
V05-0061_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,-174444.77134346394,-41307.697166693804,-41307.697166693804,True,True,True,False,True,149610.959531181,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0062_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,-165980.84304973736,-32326.93589590171,-48212.680862765,True,True,True,False,True,0.0,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0063_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,-168619.28909077327,-33261.504744208636,-49933.06854784276,True,True,True,False,True,0.0,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0064_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,-173957.24605918876,-35171.12871072863,-41907.551072418064,True,True,True,False,True,0.0,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0065_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,-176692.6497291487,-36159.0242549438,-42283.722872083075,True,True,True,False,True,0.0,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0066_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,-173993.57246238764,-35184.20765007098,-53373.84391799831,True,True,True,False,True,0.0,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0067_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=1e+06;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=4e+06,-176729.4097929663,-36172.34170762643,-55094.2316030761,True,True,True,False,True,0.0,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0068_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=8e+06,-178127.97304142657,-47452.48808919013,-47452.48808919013,True,True,True,False,True,1446094.3793569778,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0069_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=400;max_generator_power_W_total=2e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=8e+06,-183475.41808125903,-49360.42991257241,-49360.42991257241,True,True,True,False,True,1446094.3793569778,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
V05-0070_hybrid,adaptive_cycle_plus_hybrid_electric,selected_grid,battery_capacity_Wh=250000;cruise_ld=18;hybrid_mass_per_MW_kg=150;max_generator_power_W_total=6e+06;sea_level_static_thrust_N_per_engine=115000;total_electric_power_W=8e+06,-153412.5070456171,-15043.463866097256,-72978.56375698392,True,True,True,False,True,222248.2108285679,rejected_approach_only_low_thrust_margin,rejected_all_segment_low_thrust_margin
