case_id,case_family,changed_parameter,changed_value,propulsion_case,mission_fuel_kg,fuel_delta_vs_baseline_pct,estimated_mtow_kg,mtow_margin_to_upper_kg,min_thrust_margin_N,min_thrust_margin_ratio,raw_min_thrust_margin_N,raw_min_thrust_margin_ratio,raw_low_thrust_margin,raw_limiting_segment,corrected_approach_min_thrust_margin_N,corrected_approach_min_thrust_margin_ratio,corrected_low_thrust_margin,approach_model_sensitive,sizing_or_schedule_low_thrust,unmet_electric_load,unmet_electric_load_Wh,within_mtow_upper_bound,feasible_basic_raw,feasible_basic_corrected,takeoff_proxy_index,landing_proxy_index,constraint_count,conclusion_status_raw,conclusion_status_corrected,conclusion_status
V05-0013_hybrid,one_at_a_time,total_electric_power_W,2000000.0,adaptive_cycle_plus_hybrid_electric,12337.45152623155,-10.02879256007849,93039.27005851187,1960.7299414881272,-47560.73590853944,-0.7129183844857353,-178883.55513546648,-0.9032900936051658,True,approach_landing,-47560.73590853944,-0.7129183844857353,True,False,True,False,0.0,True,False,False,10721.66699264023,1388.3493085301234,6,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0014_baseline,one_at_a_time,total_electric_power_W,6000000.0,baseline_fixed_cycle_turbofan,13712.666393267995,0.0,90714.9911824971,4285.008817502894,-39897.2915536737,-0.7488197179718766,-104611.55537619304,-0.5807301516292886,True,approach_landing,-39897.2915536737,-0.7488197179718766,True,False,True,False,0.0,True,False,False,7857.667309022469,1291.9393037068376,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0014_adaptive,one_at_a_time,total_electric_power_W,6000000.0,adaptive_cycle_turbofan,11946.349527666916,-12.880914732004436,88948.72153967943,6051.2784603205655,-39823.36356221416,-0.7484707132331708,-102980.47687972552,-0.5730802257589652,True,approach_landing,-39823.36356221416,-0.7484707132331708,True,False,True,False,0.0,True,False,False,7230.174613347759,1287.753860168884,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0014_hybrid,one_at_a_time,total_electric_power_W,6000000.0,adaptive_cycle_plus_hybrid_electric,12502.87007115762,-8.8224732332459,94202.87007115762,797.1299288423761,-94120.74726379325,-0.6370428034728036,-160182.61732821786,-0.7360027337733387,True,approach_landing,-94120.74726379325,-0.6370428034728036,True,False,True,False,0.0,True,False,False,30700.3612574476,1241.2788882490788,9,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0015_baseline,one_at_a_time,total_electric_power_W,8000000.0,baseline_fixed_cycle_turbofan,13712.666393267995,0.0,90714.9911824971,4285.008817502894,-39897.2915536737,-0.7488197179718766,-104611.55537619304,-0.5807301516292886,True,approach_landing,-39897.2915536737,-0.7488197179718766,True,False,True,False,0.0,True,False,False,7857.667309022469,1291.9393037068376,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0015_adaptive,one_at_a_time,total_electric_power_W,8000000.0,adaptive_cycle_turbofan,11946.349527666916,-12.880914732004436,88948.72153967943,6051.2784603205655,-39823.36356221416,-0.7484707132331708,-102980.47687972552,-0.5730802257589652,True,approach_landing,-39823.36356221416,-0.7484707132331708,True,False,True,False,0.0,True,False,False,7230.174613347759,1287.753860168884,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0015_hybrid,one_at_a_time,total_electric_power_W,8000000.0,adaptive_cycle_plus_hybrid_electric,12520.15471500623,-8.696424488582382,94720.15471500623,279.84528499377484,-77057.19997620893,-0.5187011132927838,-146459.68075108583,-0.6688259309486719,True,approach_landing,-77057.19997620893,-0.5187011132927838,True,False,True,True,56911.91906236186,True,False,False,22699.477090696062,1228.1076870108107,11,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0016_baseline,one_at_a_time,battery_capacity_Wh,250000.0,baseline_fixed_cycle_turbofan,13712.666393267995,0.0,90714.9911824971,4285.008817502894,-39897.2915536737,-0.7488197179718766,-104611.55537619304,-0.5807301516292886,True,approach_landing,-39897.2915536737,-0.7488197179718766,True,False,True,False,0.0,True,False,False,7857.667309022469,1291.9393037068376,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0016_adaptive,one_at_a_time,battery_capacity_Wh,250000.0,adaptive_cycle_turbofan,11946.349527666916,-12.880914732004436,88948.72153967943,6051.2784603205655,-39823.36356221416,-0.7484707132331708,-102980.47687972552,-0.5730802257589652,True,approach_landing,-39823.36356221416,-0.7484707132331708,True,False,True,False,0.0,True,False,False,7230.174613347759,1287.753860168884,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0016_hybrid,one_at_a_time,battery_capacity_Wh,250000.0,adaptive_cycle_plus_hybrid_electric,12443.225045810233,-9.257436234873857,92643.22504581024,2356.7749541897647,-40967.66373910538,-0.7537664222439922,-148370.73627487203,-0.7715442772654869,True,approach_landing,-40967.66373910538,-0.7537664222439922,True,False,True,True,452453.33499661664,True,False,False,9205.675836233428,1368.6564290329795,9,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
