case_name,segment_name,weight_N,speed_mps,altitude_m,gamma_deg,drag_N,weight_component_along_path_N,required_thrust_level_flight_N,required_thrust_descent_N,available_thrust_N,electric_thrust_proxy_N,net_required_thrust_after_electric_N,thrust_margin_level_flight_N,thrust_margin_descent_N,thrust_margin_change_due_to_descent_N,conclusion_flag,approach_drag_factor,rating,electric_assist_enabled,engine_available_thrust_N,mission_required_thrust_N,mission_thrust_margin_N,unmet_electric_load_Wh
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.0,109279.12246418472,-42463.38258922159,109279.12246418472,66815.73987496312,52183.75015945631,17683.253955191904,49132.48591977122,-57095.372304728415,-14631.989715506817,42463.3825892216,sizing_or_schedule_issue,1.0,approach,True,34500.496204264404,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.0,109279.12246418472,-42463.38258922159,109279.12246418472,66815.73987496312,194547.43352272263,0.0,66815.73987496312,85268.3110585379,127731.6936477595,42463.3825892216,no_low_margin_in_force_balance,1.0,climb,False,194547.43352272263,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.0,109279.12246418472,-42463.38258922159,109279.12246418472,66815.73987496312,170015.21973053188,17683.253955191904,49132.48591977122,60736.09726634716,103199.47985556876,42463.3825892216,no_low_margin_in_force_balance,1.0,climb,True,152331.96577533998,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.0,136598.9030802309,-42463.38258922159,136598.9030802309,94135.52049100932,76715.96395164705,0.0,94135.52049100932,-59882.93912858385,-17419.556539362267,42463.38258922158,sizing_or_schedule_issue,1.25,approach,False,76715.96395164705,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.0,136598.9030802309,-42463.38258922159,136598.9030802309,94135.52049100932,52183.75015945631,17683.253955191904,76452.26653581741,-84415.15292077459,-41951.77033155301,42463.38258922158,sizing_or_schedule_issue,1.25,approach,True,34500.496204264404,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.0,136598.9030802309,-42463.38258922159,136598.9030802309,94135.52049100932,194547.43352272263,0.0,94135.52049100932,57948.53044249173,100411.91303171331,42463.38258922158,no_low_margin_in_force_balance,1.25,climb,False,194547.43352272263,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.0,136598.9030802309,-42463.38258922159,136598.9030802309,94135.52049100932,170015.21973053188,17683.253955191904,76452.26653581741,33416.316650300985,75879.69923952257,42463.38258922158,no_low_margin_in_force_balance,1.25,climb,True,152331.96577533998,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.5,81959.34184813855,-49532.437675319175,81959.34184813855,32426.90417281937,76715.96395164705,0.0,32426.90417281937,-5243.377896491496,44289.05977882768,49532.437675319175,constraint_sensitive_to_approach_model,0.75,approach,False,76715.96395164705,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.5,81959.34184813855,-49532.437675319175,81959.34184813855,32426.90417281937,52183.75015945631,17683.253955191904,14743.650217627466,-29775.591688682238,19756.845986636938,49532.437675319175,constraint_sensitive_to_approach_model,0.75,approach,True,34500.496204264404,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.5,81959.34184813855,-49532.437675319175,81959.34184813855,32426.90417281937,194547.43352272263,0.0,32426.90417281937,112588.09167458408,162120.52934990326,49532.437675319175,no_low_margin_in_force_balance,0.75,climb,False,194547.43352272263,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.5,81959.34184813855,-49532.437675319175,81959.34184813855,32426.90417281937,170015.21973053188,17683.253955191904,14743.650217627466,88055.87788239334,137588.3155577125,49532.437675319175,no_low_margin_in_force_balance,0.75,climb,True,152331.96577533998,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.5,109279.12246418472,-49532.437675319175,109279.12246418472,59746.68478886555,76715.96395164705,0.0,59746.68478886555,-32563.158512537673,16969.279162781502,49532.437675319175,constraint_sensitive_to_approach_model,1.0,approach,False,76715.96395164705,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.5,109279.12246418472,-49532.437675319175,109279.12246418472,59746.68478886555,52183.75015945631,17683.253955191904,42063.43083367364,-57095.372304728415,-7562.934629409239,49532.437675319175,sizing_or_schedule_issue,1.0,approach,True,34500.496204264404,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.5,109279.12246418472,-49532.437675319175,109279.12246418472,59746.68478886555,194547.43352272263,0.0,59746.68478886555,85268.3110585379,134800.74873385706,49532.43767531916,no_low_margin_in_force_balance,1.0,climb,False,194547.43352272263,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.5,109279.12246418472,-49532.437675319175,109279.12246418472,59746.68478886555,170015.21973053188,17683.253955191904,42063.43083367364,60736.09726634716,110268.53494166634,49532.437675319175,no_low_margin_in_force_balance,1.0,climb,True,152331.96577533998,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.5,136598.9030802309,-49532.437675319175,136598.9030802309,87066.46540491172,76715.96395164705,0.0,87066.46540491172,-59882.93912858385,-10350.501453264675,49532.437675319175,sizing_or_schedule_issue,1.25,approach,False,76715.96395164705,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.5,136598.9030802309,-49532.437675319175,136598.9030802309,87066.46540491172,52183.75015945631,17683.253955191904,69383.21144971982,-84415.15292077459,-34882.715245455416,49532.437675319175,sizing_or_schedule_issue,1.25,approach,True,34500.496204264404,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.5,136598.9030802309,-49532.437675319175,136598.9030802309,87066.46540491172,194547.43352272263,0.0,87066.46540491172,57948.53044249173,107480.9681178109,49532.437675319175,no_low_margin_in_force_balance,1.25,climb,False,194547.43352272263,198689.31357124491,-146505.56341178864,287117.0432304107
adaptive_cycle_plus_hybrid_electric,approach_landing,811361.5502142791,70.0,250.0,-3.5,136598.9030802309,-49532.437675319175,136598.9030802309,87066.46540491172,170015.21973053188,17683.253955191904,69383.21144971982,33416.316650300985,82948.75432562016,49532.437675319175,no_low_margin_in_force_balance,1.25,climb,True,152331.96577533998,198689.31357124491,-146505.56341178864,287117.0432304107
